Filename,Identifier,IE_krr,IE_exp
499-06-9,Cc1cc(C)cc(c1)C(O)=O,54.2408812084,nan
527-61-7,CC1=CC(=O)C=C(C)C1=O,52.3942559507,nan
4184-79-6,Cc1cc2n[nH]nc2cc1C,42.4291772615,nan
613-33-2,Cc1ccc(cc1)c2ccc(C)cc2,49.9153038487,nan
126-81-8,CC1(C)CC(=O)CC(=O)C1,24.8635715746,nan
517-22-6,CCc1c(C)[nH]cc1C,28.8686294208,nan
1119-40-0,COC(=O)CCCC(=O)OC,36.320533084,nan
4839-46-7,CC(C)(CC(O)=O)CC(O)=O,25.6539909684,nan
77-71-4,CC1(C)NC(=O)NC1=O,-6.6163741969,nan
6622-92-0,CC1=CC(=O)N=C(C)N1,12.3334470881,nan
1196-79-8,Cc1[nH]c2ccc(C)cc2c1,41.6031309808,nan
766-39-2,CC1=C(C)C(=O)OC1=O,55.4526347978,nan
581-40-8,Cc1cc2ccccc2cc1C,52.4715635456,nan
619-31-8,CN(C)c1cccc(c1)[N+]([O-])=O,17.5254386467,nan
131-11-3,COC(=O)c1ccccc1C(=O)OC,66.0218820511,nan
67-51-6,Cc1[nH]nc(C)c1,15.414695869,nan
1004-36-0,CC1=CC(=O)C=C(C)O1,44.4145826141,nan
541-58-2,Cc1scc(C)n1,28.3832995778,nan
638-02-8,Cc1sc(C)cc1,46.7734840902,nan
534-13-4,CNC(=S)NC,-0.9419873374,nan
96-31-1,CNC(=O)NC,-59.5700808131,nan
126-58-9,OCC(CO)(CO)COCC(CO)(CO)CO,11.2712732624,nan
117-34-0,OC(=O)C(c1ccccc1)c2ccccc2,59.4126013558,nan
102-04-5,O=C(Cc1ccccc1)Cc2ccccc2,52.4682428711,nan
501-65-5,c1ccc(cc1)C#Cc2ccccc2,47.2627262245,nan
1499-10-1,c1ccc(cc1)c2c3ccccc3c(c4ccccc4)c5ccccc25,54.6694723107,nan
531-91-9,N(c1ccccc1)c2ccc(cc2)c3ccc(Nc4ccccc4)cc3,38.8575798732,nan
538-81-8,c1ccc(cc1)\C=C\C=C\c2ccccc2,46.5211829302,nan
102-09-0,O=C(Oc1ccccc1)Oc2ccccc2,61.2594514554,nan
3963-62-0,NCC(c1ccccc1)c2ccccc2,42.3709356919,nan
530-48-3,C=C(c1ccccc1)c2ccccc2,46.8150829968,nan
1720-32-7,C(=C\C=C\c1ccccc1)/C=C/c2ccccc2,46.3442956508,nan
1801-42-9,O=C1c2ccccc2C(=C1c3ccccc3)c4ccccc4,66.738812157,nan
101-81-5,C(c1ccccc1)c2ccccc2,44.7725498803,nan
92-71-7,o1c(cnc1c2ccccc2)c3ccccc3,57.004627061,nan
606-83-7,OC(=O)CC(c1ccccc1)c2ccccc2,57.1426326668,nan
79-40-3,NC(=S)C(N)=S,18.8886545264,nan
5675-51-4,OCCCCCCCCCCCCO,28.7578529507,nan
608-66-2,OCC(O)C(O)C(O)C(O)CO,26.6286939842,nan
506-30-9,CCCCCCCCCCCCCCCCCCCC(O)=O,38.5882748209,nan
112-79-8,CCCCCCCC/C=C/CCCCCCCC(O)=O,39.2426246342,nan
476-66-4,Oc1cc2C(=O)Oc3c(O)c(O)cc4C(=O)Oc(c1O)c2c34,81.5439422826,nan
518-82-1,Cc1cc(O)c2C(=O)c3c(O)cc(O)cc3C(=O)c2c1,79.1755835234,nan
149-32-6,OCC(O)C(O)CO,18.98888071,nan
531-75-9,OC[C@H]1O[C@@H](Oc2cc3C=CC(=O)Oc3cc2O)[C@H](O)[C@@H](O)[C@@H]1O,64.5631374721,nan
938-73-8,CCOc1ccccc1C(N)=O,46.5171113755,nan
5323-87-5,CCOC1=CC(=O)CCC1,30.4342124386,nan
111-90-0,CCOCCOCCO,8.8566820416,nan
112-36-7,CCOCCOCCOCC,7.5679592004,nan
120-25-2,CCOc1ccc(C=O)cc1OC,50.0047917864,nan
141-97-9,CCOC(=O)CC(C)=O,24.440947892,nan
582-33-2,CCOC(=O)c1cccc(N)c1,46.6515398095,nan
886-86-2,CCOC(=O)c1cccc(N)c1.C[S](O)(=O)=O,60.1120389136,nan
93-89-0,CCOC(=O)c1ccccc1,51.4604168008,nan
105-54-4,CCCC(=O)OCC,13.4553498645,nan
3249-68-1,CCCC(=O)CC(=O)OCC,28.4477641373,nan
4114-31-2,CCOC(=O)NN,-5.019092634,nan
105-56-6,CCOC(=O)CC#N,35.7589773565,nan
7153-22-2,CCOC(=O)c1ccc(cc1)C#N,63.4730601152,nan
24731-17-7,CCOC(=O)CC1CCCCC1=O,34.3874238035,nan
1655-07-8,CCOC(=O)C1CCCCC1=O,36.6231315307,nan
10287-53-3,CCOC(=O)c1ccc(cc1)N(C)C,18.2133388488,nan
96-49-1,O=C1OCCO1,57.0940320278,nan
60-00-4,OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,-2.6230624098,nan
149-57-5,CCCCC(CC)C(O)=O,20.5486158798,nan
